Action,Campaign,Ad Group,Keyword,Match Type,Note
Add,DST - Catering - Jan9,Competitor Conquest,annapoorna catering chennai,Exact,Optional - bid lower than brand terms
Add,DST - Catering - Jan9,Competitor Conquest,annalakshmi catering chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,balaji catering chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,arusuvai catering chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,arusuvai caterers mylapore,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,ambi caterers chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,angel caterers chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,annai catering chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,asr caterers chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,ayyappa caterers chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,babu catering kolathur,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,arun caterers velachery,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,abc caterers chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,ahmed catering chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,ambal catering chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,annapoorani catering chennai,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,anandan catering mylapore,Exact,Optional
Add,DST - Catering - Jan9,Competitor Conquest,annapoorna catering thiruvanmiyur,Exact,Optional
