Action,Campaign,Ad Group,Keyword,Match Type,Avg Monthly Searches,Competition,Low CPC (INR),High CPC (INR)
Add,DST - Bulk/Party,Anniversary Event,catering for 50 people,Exact,1600,MEDIUM,89.12,389.49
Add,DST - Bulk/Party,Anniversary Event,food for 50 people,Exact,140,LOW,77.88,640.97
Add,DST - Bulk/Party,Anniversary Event,party food for 50 people,Exact,50,MEDIUM,5.78,177.05
Add,DST - Bulk/Party,Anniversary Event,food for anniversary party,Exact,50,HIGH,3.53,9.57
Add,DST - Bulk/Party,Anniversary Event,anniversary catering chennai,Exact,no data,,,
Add,DST - Bulk/Party,Anniversary Event,anniversary food delivery chennai,Exact,no data,,,
Add,DST - Bulk/Party,Anniversary Event,anniversary food catering,Phrase,no data,,,
Add,DST - Bulk/Party,Anniversary Event,veg anniversary catering,Phrase,no data,,,
Add,DST - Bulk/Party,Baby Shower,valaikappu catering,Exact,10,,,
Add,DST - Bulk/Party,Baby Shower,baby shower catering chennai,Exact,no data,,,
Add,DST - Bulk/Party,Baby Shower,seemantham catering,Exact,no data,,,
Add,DST - Bulk/Party,Baby Shower,baby shower food at home,Exact,no data,,,
Add,DST - Bulk/Party,Baby Shower,baby shower catering near me,Phrase,no data,,,
Add,DST - Bulk/Party,Birthday Event,food for birthday party,Exact,3600,HIGH,9.46,160.37
Add,DST - Bulk/Party,Birthday Event,food for birthday party at home,Exact,390,MEDIUM,7.01,187.86
Add,DST - Bulk/Party,Birthday Event,menu for birthday party at home,Exact,390,MEDIUM,7.01,187.86
Add,DST - Bulk/Party,Birthday Event,catering for birthday party near me,Phrase,390,MEDIUM,66.99,288.41
Add,DST - Bulk/Party,Birthday Event,birthday party food catering,Exact,110,MEDIUM,51.67,272.19
Add,DST - Bulk/Party,Birthday Event,birthday catering ideas,Exact,90,MEDIUM,102.34,307.43
Add,DST - Bulk/Party,Birthday Event,best food to cater for birthday party,Exact,40,MEDIUM,63.00,322.49
Add,DST - Bulk/Party,Birthday Event,small birthday party catering,Exact,10,,,
Add,DST - Bulk/Party,Birthday Event,birthday food at home,Phrase,10,,,
Add,DST - Bulk/Party,Birthday Event,homemade food for birthday party,Phrase,10,MEDIUM,,
Add,DST - Bulk/Party,Birthday Event,birthday catering chennai,Exact,no data,,,
Add,DST - Bulk/Party,Birthday Event,kids birthday catering,Exact,no data,,,
Add,DST - Bulk/Party,Birthday Event,birthday party food chennai,Phrase,no data,,,
Add,DST - Bulk/Party,Chennai Localities,caterers in chennai,Exact,50,LOW,,
Add,DST - Bulk/Party,Chennai Localities,catering services anna nagar,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,catering services velachery,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,catering services porur,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,catering services ambattur,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,catering services mylapore,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,best caterers in chennai,Exact,10,LOW,,
Add,DST - Bulk/Party,Chennai Localities,top catering services in chennai,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,best catering services in chennai,Exact,10,LOW,,
Add,DST - Bulk/Party,Chennai Localities,top 10 catering services in chennai,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,top 10 veg caterers in chennai,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,veg catering services chennai,Exact,10,LOW,,
Add,DST - Bulk/Party,Chennai Localities,best veg catering services in chennai,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,best brahmin caterers in chennai,Exact,10,LOW,,
Add,DST - Bulk/Party,Chennai Localities,best brahmin catering services in chennai,Exact,10,LOW,,
Add,DST - Bulk/Party,Chennai Localities,catering services in chennai with price list,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,veg catering services in chennai with price list,Exact,10,LOW,,
Add,DST - Bulk/Party,Chennai Localities,best biryani caterers in chennai,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,best biryani catering services in chennai,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,small party caterers in chennai,Exact,10,,,
Add,DST - Bulk/Party,Chennai Localities,catering velachery,Phrase,10,,,
Add,DST - Bulk/Party,Chennai Localities,catering ambattur,Phrase,10,,,
Add,DST - Bulk/Party,Chennai Localities,brahmin catering chennai,Phrase,10,LOW,,
Add,DST - Bulk/Party,Chennai Localities,catering services tambaram,Exact,0,,,
Add,DST - Bulk/Party,Chennai Localities,catering services thiruvanmiyur,Exact,0,,,
Add,DST - Bulk/Party,Chennai Localities,catering services kolathur,Exact,0,,,
Add,DST - Bulk/Party,Chennai Localities,catering services t nagar,Exact,0,,,
Add,DST - Bulk/Party,Chennai Localities,catering anna nagar,Phrase,0,,,
Add,DST - Bulk/Party,Chennai Localities,catering tambaram,Phrase,0,,,
Add,DST - Bulk/Party,Chennai Localities,catering services adyar,Exact,no data,,,
Add,DST - Bulk/Party,Chennai Localities,catering services besant nagar,Exact,no data,,,
Add,DST - Bulk/Party,Chennai Localities,catering services omr,Exact,no data,,,
Add,DST - Bulk/Party,Chennai Localities,catering porur,Phrase,no data,,,
Add,DST - Bulk/Party,Chennai Localities,catering mylapore,Phrase,no data,,,
Add,DST - Bulk/Party,Chennai Localities,catering adyar,Phrase,no data,,,
Add,DST - Bulk/Party,Chennai Localities,catering omr,Phrase,no data,,,
Add,DST - Bulk/Party,Chennai Localities,best veg caterers chennai,Phrase,no data,,,
Add,DST - Bulk/Party,Chennai Localities,pure veg caterers chennai,Phrase,no data,,,
Add,DST - Bulk/Party,Home Party,home party catering,Exact,170,MEDIUM,100.83,310.09
Add,DST - Bulk/Party,Home Party,catering for home party,Phrase,170,MEDIUM,100.83,310.09
Add,DST - Bulk/Party,Home Party,party food order near me,Exact,50,HIGH,77.64,311.00
Add,DST - Bulk/Party,Home Party,homemade party food,Exact,20,LOW,,
Add,DST - Bulk/Party,Home Party,bulk party food chennai,Exact,no data,,,
Add,DST - Bulk/Party,Home Party,home party food chennai,Phrase,no data,,,
Add,DST - Bulk/Party,Home Pooja,pooja food catering,Exact,10,LOW,,
Add,DST - Bulk/Party,Home Pooja,prasadam catering,Exact,10,,,
Add,DST - Bulk/Party,Home Pooja,sattvik catering,Exact,10,LOW,,
Add,DST - Bulk/Party,Home Pooja,no onion no garlic catering,Exact,10,,,
Add,DST - Bulk/Party,Home Pooja,satyanarayana pooja food catering,Exact,no data,,,
Add,DST - Bulk/Party,Home Pooja,home pooja food,Exact,no data,,,
Add,DST - Bulk/Party,House Warming,griha pravesh catering,Exact,10,,,
Add,DST - Bulk/Party,House Warming,housewarming food catering,Exact,no data,,,
Add,DST - Bulk/Party,House Warming,housewarming catering chennai,Exact,no data,,,
Add,DST - Bulk/Party,House Warming,housewarming food chennai,Exact,no data,,,
Add,DST - Bulk/Party,House Warming,veg housewarming catering,Exact,no data,,,
Add,DST - Bulk/Party,House Warming,housewarming food near me,Exact,no data,,,
Add,DST - Bulk/Party,House Warming,housewarming catering services,Phrase,no data,,,
Add,DST - Bulk/Party,House Warming,griha pravesh food catering,Phrase,no data,,,
Add,DST - Bulk/Party,Naming Ceremony,naming ceremony catering,Exact,no data,,,
Add,DST - Bulk/Party,Naming Ceremony,namakaranam catering,Exact,no data,,,
Add,DST - Bulk/Party,Naming Ceremony,namakarana catering,Exact,no data,,,
Add,DST - Bulk/Party,Naming Ceremony,food for naming ceremony,Exact,no data,,,
Add,DST - Bulk/Party,Naming Ceremony,naming day catering,Exact,no data,,,
Add,DST - Bulk/Party,Office Party,corporate lunch catering,Phrase,720,LOW,433.55,2019.48
Add,DST - Bulk/Party,Office Party,office event catering,Exact,40,LOW,,
Add,DST - Bulk/Party,Office Party,team lunch catering,Exact,30,LOW,861.24,3203.91
Add,DST - Bulk/Party,Office Party,office party food catering,Exact,10,HIGH,192.51,669.86
Add,DST - Bulk/Party,Office Party,office party food delivery,Exact,10,HIGH,218.41,570.87
Add,DST - Bulk/Party,Office Party,office food platters,Exact,10,LOW,,
Add,DST - Bulk/Party,Office Party,corporate catering chennai,Exact,0,,,
Add,DST - Bulk/Party,Office Party,office lunch bulk order,Exact,no data,,,
Add,DST - Bulk/Party,Office Party,team event catering,Phrase,no data,,,
Add,DST - Bulk/Party,Office Party,office catering chennai,Phrase,no data,,,
Add,DST - Bulk/Party,Pure Veg Catering,veg catering services,Phrase,40,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,pure veg caterers,Phrase,30,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,jain catering,Exact,20,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,veg catering near me,Phrase,20,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,pure veg catering,Exact,10,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,pure veg caterers near me,Exact,10,,,
Add,DST - Bulk/Party,Pure Veg Catering,pure vegetarian catering,Exact,10,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,pure vegetarian catering near me,Exact,10,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,pure veg catering services,Exact,10,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,pure veg catering services near me,Exact,10,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,satvik food catering,Exact,10,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,veg wedding catering,Exact,10,,,
Add,DST - Bulk/Party,Pure Veg Catering,veg menu for function,Exact,10,,,
Add,DST - Bulk/Party,Pure Veg Catering,pure veg catering,Phrase,10,LOW,,
Add,DST - Bulk/Party,Pure Veg Catering,jain catering services,Phrase,10,,,
Add,DST - Bulk/Party,Pure Veg Catering,veg catering for party,Exact,no data,,,
Add,DST - Bulk/Party,Pure Veg Catering,pure veg party food near me,Exact,no data,,,
Add,DST - Bulk/Party,Veg Biryani,veg biryani full tray price,Exact,20,LOW,,
Add,DST - Bulk/Party,Veg Biryani,veg biryani catering,Exact,10,HIGH,,
Add,DST - Bulk/Party,Veg Biryani,veg biryani bulk order,Exact,10,,,
Add,DST - Bulk/Party,Veg Biryani,veg biryani for 50 people,Exact,10,LOW,,
Add,DST - Bulk/Party,Veg Biryani,veg biryani for 20 persons price,Exact,10,,,
Add,DST - Bulk/Party,Veg Biryani,veg biryani for 30 persons price,Exact,10,,,
Add,DST - Bulk/Party,Veg Biryani,veg biryani for 15 person,Exact,10,,,
Add,DST - Bulk/Party,Veg Biryani,veg biryani catering near me,Phrase,10,HIGH,,
Add,DST - Bulk/Party,Veg Biryani,veg biryani for party,Exact,no data,,,
Add,DST - Bulk/Party,Veg Biryani,paneer biryani catering,Exact,no data,,,
Add,DST - Bulk/Party,Veg Biryani,mushroom biryani bulk order,Exact,no data,,,
Add,DST - Bulk/Party,Veg Biryani,veg dum biryani catering,Exact,no data,,,
Add,DST - Bulk/Party,Veg Biryani,paneer biryani for party,Phrase,no data,,,
