Campaign,Ad Group,Keyword,Match Type
DST - Bulk/Party,Anniversary Event,affordable catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,affordable catering Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,affordable party food delivery,PHRASE
DST - Bulk/Party,Anniversary Event,anniversary celebration food,EXACT
DST - Bulk/Party,Anniversary Event,anniversary celebration food Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,anniversary dinner catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,anniversary party catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,authentic home cooked catering,PHRASE
DST - Bulk/Party,Anniversary Event,best caterers in Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,best caterers in Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,best homemade food home delivery near me Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,best homemade food home delivery near me Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,best wedding caterers Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,best wedding caterers Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,birthday catering home delivery,PHRASE
DST - Bulk/Party,Anniversary Event,birthday catering home delivery Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,birthday catering home delivery Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,birthday catering near me Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,birthday catering near me Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,birthday dinner catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,birthday dinner catering Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,birthday dinner food order,PHRASE
DST - Bulk/Party,Anniversary Event,birthday food for 20 people,EXACT
DST - Bulk/Party,Anniversary Event,birthday lunch catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,birthday lunch catering Chennai,PHRASE
DST - Bulk/Party,Anniversary Event,birthday lunch catering Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,birthday party catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,birthday party catering Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,birthday party catering services Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,birthday party catering services Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,birthday party food boxes,PHRASE
DST - Bulk/Party,Anniversary Event,birthday party food order Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,birthday party food order Chennai,PHRASE
DST - Bulk/Party,Anniversary Event,birthday party food order Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,birthday party home food Chennai,PHRASE
DST - Bulk/Party,Anniversary Event,bulk food delivery for party,PHRASE
DST - Bulk/Party,Anniversary Event,bulk food order for office Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,bulk food order for office Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,catering for 10 people,EXACT
DST - Bulk/Party,Anniversary Event,catering for 15 people,EXACT
DST - Bulk/Party,Anniversary Event,catering for 20 people,PHRASE
DST - Bulk/Party,Anniversary Event,catering for 25 people,EXACT
DST - Bulk/Party,Anniversary Event,catering for 30 people,EXACT
DST - Bulk/Party,Anniversary Event,catering for 40 people,EXACT
DST - Bulk/Party,Anniversary Event,catering for 50 people,PHRASE
DST - Bulk/Party,Anniversary Event,catering for afternoon tea party,PHRASE
DST - Bulk/Party,Anniversary Event,catering for birthday party Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,catering for birthday party Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,catering for few people,BROAD
DST - Bulk/Party,Anniversary Event,catering for party Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,catering for party Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,catering for small anniversary function,EXACT
DST - Bulk/Party,Anniversary Event,catering for small group,PHRASE
DST - Bulk/Party,Anniversary Event,catering near me Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,catering near me Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,catering service Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,catering services Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,catering services for house warming party,PHRASE
DST - Bulk/Party,Anniversary Event,corporate catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,corporate catering Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,corporate party food Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,corporate party food Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,food for 20 guests,EXACT
DST - Bulk/Party,Anniversary Event,food for 30 guests,EXACT
DST - Bulk/Party,Anniversary Event,food for 50 guests,EXACT
DST - Bulk/Party,Anniversary Event,food for anniversary party,EXACT
DST - Bulk/Party,Anniversary Event,food for anniversary party Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,food for birthday party Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,food for birthday party Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,food for small gathering,BROAD
DST - Bulk/Party,Anniversary Event,food for small party,PHRASE
DST - Bulk/Party,Anniversary Event,food for wedding anniversary,EXACT
DST - Bulk/Party,Anniversary Event,food for wedding anniversary Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,function catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,function catering Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,griha pravesh catering,PHRASE
DST - Bulk/Party,Anniversary Event,griha pravesh catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,home catering delivery,BROAD
DST - Bulk/Party,Anniversary Event,home catering near me Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,home catering near me Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,home catering services Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,home catering services Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,home cooked food for function Bangalo,PHRASE
DST - Bulk/Party,Anniversary Event,home cooked food for function Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,home cooked food for function Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,home cooked food for get together,PHRASE
DST - Bulk/Party,Anniversary Event,home cooked food for party Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,home cooked food for party Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,home food for anniversary dinner,EXACT
DST - Bulk/Party,Anniversary Event,home food order for birthday,PHRASE
DST - Bulk/Party,Anniversary Event,home food order for birthday Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,home food order for birthday Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,home party catering,PHRASE
DST - Bulk/Party,Anniversary Event,home party catering near me,BROAD
DST - Bulk/Party,Anniversary Event,home party catering services,PHRASE
DST - Bulk/Party,Anniversary Event,home party food for 20 people,EXACT
DST - Bulk/Party,Anniversary Event,home style food delivery for function,PHRASE
DST - Bulk/Party,Anniversary Event,home style food for get together Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,home style food for get together Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,homemade food delivery for party,PHRASE
DST - Bulk/Party,Anniversary Event,homemade food delivery for party Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,homemade food delivery for party Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,homemade food for anniversary party,EXACT
DST - Bulk/Party,Anniversary Event,homemade party food near me,PHRASE
DST - Bulk/Party,Anniversary Event,homemade party food near me Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,homemade party food near me Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,house party catering for 20,EXACT
DST - Bulk/Party,Anniversary Event,house warming function catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,housewarming catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,housewarming catering Chennai,PHRASE
DST - Bulk/Party,Anniversary Event,housewarming food order Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,housewarming food order Chennai,PHRASE
DST - Bulk/Party,Anniversary Event,housewarming party catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,housewarming party catering near me,PHRASE
DST - Bulk/Party,Anniversary Event,indian caterers for small parties,PHRASE
DST - Bulk/Party,Anniversary Event,indian caterers for small parties near me,PHRASE
DST - Bulk/Party,Anniversary Event,indian catering for home parties,PHRASE
DST - Bulk/Party,Anniversary Event,indian catering near me for party,PHRASE
DST - Bulk/Party,Anniversary Event,indian food catering for birthday parties,PHRASE
DST - Bulk/Party,Anniversary Event,indian food catering for small party,PHRASE
DST - Bulk/Party,Anniversary Event,indian party catering,PHRASE
DST - Bulk/Party,Anniversary Event,indian party catering near me,PHRASE
DST - Bulk/Party,Anniversary Event,indian party food catering,PHRASE
DST - Bulk/Party,Anniversary Event,intimate dinner catering,EXACT
DST - Bulk/Party,Anniversary Event,intimate event catering,PHRASE
DST - Bulk/Party,Anniversary Event,marriage function catering,PHRASE
DST - Bulk/Party,Anniversary Event,marriage function catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,marriage function catering Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,mini catering service,EXACT
DST - Bulk/Party,Anniversary Event,mini tiffin for small functions,PHRASE
DST - Bulk/Party,Anniversary Event,new home celebration food Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,new home celebration food order,PHRASE
DST - Bulk/Party,Anniversary Event,office event catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,office event catering Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,office food order Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,office food order Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,office lunch catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,office lunch catering Hyderabad,PHRASE
DST - Bulk/Party,Anniversary Event,office lunch catering services,PHRASE
DST - Bulk/Party,Anniversary Event,office party catering Bangalore,PHRASE
DST - Bulk/Party,Anniversary Event,office party catering Hyderabad,PHRASE
