Action,Campaign,Ad Group,Keyword,Match Type
Add,DST - Bulk/Party,Chennai Localities,catering services anna nagar,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services velachery,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services porur,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services ambattur,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services tambaram,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services mylapore,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services thiruvanmiyur,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services kolathur,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services adyar,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services t nagar,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services besant nagar,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services omr,Exact
Add,DST - Bulk/Party,Chennai Localities,caterers in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,best caterers in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,top catering services in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,best catering services in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,top 10 catering services in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,top 10 veg caterers in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,veg catering services chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,best veg catering services in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,best brahmin caterers in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,best brahmin catering services in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,catering services in chennai with price list,Exact
Add,DST - Bulk/Party,Chennai Localities,veg catering services in chennai with price list,Exact
Add,DST - Bulk/Party,Chennai Localities,best biryani caterers in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,best biryani catering services in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,small party caterers in chennai,Exact
Add,DST - Bulk/Party,Chennai Localities,catering anna nagar,Phrase
Add,DST - Bulk/Party,Chennai Localities,catering velachery,Phrase
Add,DST - Bulk/Party,Chennai Localities,catering porur,Phrase
Add,DST - Bulk/Party,Chennai Localities,catering ambattur,Phrase
Add,DST - Bulk/Party,Chennai Localities,catering tambaram,Phrase
Add,DST - Bulk/Party,Chennai Localities,catering mylapore,Phrase
Add,DST - Bulk/Party,Chennai Localities,catering adyar,Phrase
Add,DST - Bulk/Party,Chennai Localities,catering omr,Phrase
Add,DST - Bulk/Party,Chennai Localities,best veg caterers chennai,Phrase
Add,DST - Bulk/Party,Chennai Localities,brahmin catering chennai,Phrase
Add,DST - Bulk/Party,Chennai Localities,pure veg caterers chennai,Phrase
