Action,Campaign,Ad Group,Keyword,Match Type
Add,DST - Bulk/Party,Birthday Event,food for birthday party at home,Exact
Add,DST - Bulk/Party,Birthday Event,menu for birthday party at home,Exact
Add,DST - Bulk/Party,Birthday Event,birthday catering ideas,Exact
Add,DST - Bulk/Party,Birthday Event,food for birthday party,Exact
Add,DST - Bulk/Party,Birthday Event,birthday catering chennai,Exact
Add,DST - Bulk/Party,Birthday Event,small birthday party catering,Exact
Add,DST - Bulk/Party,Birthday Event,best food to cater for birthday party,Exact
Add,DST - Bulk/Party,Birthday Event,catering for birthday party near me,Phrase
Add,DST - Bulk/Party,Birthday Event,birthday food at home,Phrase
Add,DST - Bulk/Party,Birthday Event,homemade food for birthday party,Phrase
Add,DST - Bulk/Party,Office Party,office party food catering,Exact
Add,DST - Bulk/Party,Office Party,office party food delivery,Exact
Add,DST - Bulk/Party,Office Party,office food platters,Exact
Add,DST - Bulk/Party,Office Party,team lunch catering,Exact
Add,DST - Bulk/Party,Office Party,corporate catering chennai,Exact
Add,DST - Bulk/Party,Office Party,office lunch bulk order,Exact
Add,DST - Bulk/Party,Office Party,corporate lunch catering,Phrase
Add,DST - Bulk/Party,Office Party,team event catering,Phrase
Add,DST - Bulk/Party,Office Party,office catering chennai,Phrase
Add,DST - Bulk/Party,House Warming,housewarming food catering,Exact
Add,DST - Bulk/Party,House Warming,griha pravesh catering,Exact
Add,DST - Bulk/Party,House Warming,housewarming catering chennai,Exact
Add,DST - Bulk/Party,House Warming,housewarming food chennai,Exact
Add,DST - Bulk/Party,House Warming,veg housewarming catering,Exact
Add,DST - Bulk/Party,House Warming,housewarming catering services,Phrase
Add,DST - Bulk/Party,House Warming,griha pravesh food catering,Phrase
Add,DST - Bulk/Party,Naming Ceremony,naming ceremony catering,Exact
Add,DST - Bulk/Party,Naming Ceremony,namakaranam catering,Exact
Add,DST - Bulk/Party,Naming Ceremony,namakarana catering,Exact
Add,DST - Bulk/Party,Naming Ceremony,food for naming ceremony,Exact
Add,DST - Bulk/Party,Baby Shower,baby shower catering chennai,Exact
Add,DST - Bulk/Party,Baby Shower,seemantham catering,Exact
Add,DST - Bulk/Party,Baby Shower,valaikappu catering,Exact
Add,DST - Bulk/Party,Baby Shower,baby shower food at home,Exact
Add,DST - Bulk/Party,Home Pooja,pooja food catering,Exact
Add,DST - Bulk/Party,Home Pooja,satyanarayana pooja food catering,Exact
Add,DST - Bulk/Party,Home Pooja,home pooja food,Exact
Add,DST - Bulk/Party,Home Pooja,prasadam catering,Exact
Add,DST - Bulk/Party,Veg Biryani,veg biryani full tray price,Exact
Add,DST - Bulk/Party,Veg Biryani,veg biryani for 20 persons price,Exact
Add,DST - Bulk/Party,Veg Biryani,veg biryani for 30 persons price,Exact
Add,DST - Bulk/Party,Veg Biryani,veg biryani for 15 person,Exact
Add,DST - Bulk/Party,Anniversary Event,catering for 50 people,Exact
Add,DST - Bulk/Party,Anniversary Event,party food for 50 people,Exact
Add,DST - Bulk/Party,Anniversary Event,food for 50 people,Exact
Add,DST - Bulk/Party,Anniversary Event,food for anniversary party,Exact
