Action,Campaign,Ad Group,Keyword,Match Type,90d Clicks,90d Cost (INR),90d Conv (mostly PV),Original Removal Reason,Override Reason
Preserve,DST - Bulk/Party,Birthday Event,marriage function catering,BROAD,434,1805.19,251.17,Wedding/marriage term — removed per business decision,Top performer — 434 clicks / ₹1805 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Anniversary Event,marriage function catering,PHRASE,68,468.29,63.0,Wedding/marriage term — removed per business decision,Top performer — 68 clicks / ₹468 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Anniversary Event,food for wedding anniversary,EXACT,93,688.65,76.0,Wedding/marriage term — removed per business decision,Top performer — 93 clicks / ₹689 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Home Party,marriage function catering,BROAD,1281,6569.95,829.67,Wedding/marriage term — removed per business decision,Top performer — 1281 clicks / ₹6570 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Home Party,best wedding caterers Hyderabad,BROAD,124,540.10,79.33,Wedding/marriage term — removed per business decision,Top performer — 124 clicks / ₹540 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Home Party,wedding biryani catering Hyderabad,BROAD,87,250.83,40.0,Wedding/marriage term — removed per business decision,Top performer — 87 clicks / ₹251 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Home Party,wedding biryani catering Bangalore,BROAD,130,404.35,62.0,Wedding/marriage term — removed per business decision,Top performer — 130 clicks / ₹404 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Office Party,Office Party,EXACT,224,1374.33,152.0,"Ad-group-name as Exact/Phrase — too broad, captures research intent",Top performer — 224 clicks / ₹1374 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Home Party,home party,EXACT,236,1568.10,225.0,"Ad-group-name as Exact/Phrase — too broad, captures research intent",Top performer — 236 clicks / ₹1568 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Naming Ceremony,party catering,PHRASE,53,242.80,35.5,Misdirected in Naming Ceremony ad group,Top performer — 53 clicks / ₹243 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Birthday Event,small party caterers in chennai,BROAD,147,907.81,106.5,Duplicate across ad groups — keep only in Home Party,Top performer — 147 clicks / ₹908 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Birthday Event,home catering delivery,BROAD,1728,6113.61,823.68,Duplicate across ad groups — keep only in Home Party,Top performer — 1728 clicks / ₹6114 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Anniversary Event,home catering delivery,BROAD,1889,6728.59,953.9,Duplicate across ad groups — keep only in Home Party,Top performer — 1889 clicks / ₹6729 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Birthday Event,party food order near me,EXACT,95,771.92,95.67,Duplicate across ad groups — keep only in Home Party,Top performer — 95 clicks / ₹772 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Birthday Event,catering services Hyderabad,BROAD,63,310.29,46.0,Duplicate across ad groups — keep only in Home Party,Top performer — 63 clicks / ₹310 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Birthday Event,griha pravesh catering,BROAD,275,843.97,142.0,Duplicate across ad groups — keep only in House Warming,Top performer — 275 clicks / ₹844 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Home Party,griha pravesh catering,BROAD,92,290.58,54.0,Duplicate across ad groups — keep only in House Warming,Top performer — 92 clicks / ₹291 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Home Party,catering for birthday party Hyderabad,BROAD,109,572.53,78.0,Duplicate across ad groups — keep only in Birthday Event,Top performer — 109 clicks / ₹573 in 90d (per user directive: keep performers)
Preserve,DST - Bulk/Party,Birthday Event,catering near me Hyderabad,BROAD,68,276.65,34.17,Duplicate across ad groups — keep only in Home Party,Top performer — 68 clicks / ₹277 in 90d (per user directive: keep performers)
