Action,Campaign,Keyword,Match Type
Add,DST - Bulk/Party,chicken,Broad
Add,DST - Bulk/Party,chicken biryani,Broad
Add,DST - Bulk/Party,mutton biryani,Broad
Add,DST - Bulk/Party,mutton,Broad
Add,DST - Bulk/Party,fish,Broad
Add,DST - Bulk/Party,prawns,Broad
Add,DST - Bulk/Party,beef,Broad
Add,DST - Bulk/Party,chicken curry,Broad
Add,DST - Bulk/Party,chicken 65,Broad
Add,DST - Bulk/Party,butter chicken,Broad
Add,DST - Bulk/Party,pepper chicken,Broad
Add,DST - Bulk/Party,chicken dum biryani,Broad
Add,DST - Bulk/Party,tandoori chicken,Broad
Add,DST - Bulk/Party,chicken momos,Broad
Add,DST - Bulk/Party,chicken roll,Broad
Add,DST - Bulk/Party,chicken kabab,Broad
Add,DST - Bulk/Party,chicken kebab,Broad
Add,DST - Bulk/Party,chicken korma,Broad
Add,DST - Bulk/Party,chicken lollipop,Broad
Add,DST - Bulk/Party,chicken pakoda,Broad
Add,DST - Bulk/Party,chicken pakodi,Broad
Add,DST - Bulk/Party,chicken tikka,Broad
Add,DST - Bulk/Party,chicken chops,Broad
Add,DST - Bulk/Party,chilli chicken,Broad
Add,DST - Bulk/Party,chicken shop,Broad
Add,DST - Bulk/Party,chicken centre,Broad
Add,DST - Bulk/Party,chicken party,Broad
Add,DST - Bulk/Party,chicken dinner,Broad
Add,DST - Bulk/Party,chicken rice,Broad
Add,DST - Bulk/Party,chicken tandoori,Broad
Add,DST - Bulk/Party,fried chicken,Broad
Add,DST - Bulk/Party,shawarma,Broad
Add,DST - Bulk/Party,chicken shawarma,Broad
Add,DST - Bulk/Party,mutton curry,Broad
Add,DST - Bulk/Party,mutton chukka,Broad
Add,DST - Bulk/Party,mutton dum biryani,Broad
Add,DST - Bulk/Party,beef biryani,Broad
Add,DST - Bulk/Party,fish fry,Broad
Add,DST - Bulk/Party,prawns fry,Broad
Add,DST - Bulk/Party,non veg,Broad
Add,DST - Bulk/Party,mutta kalaki,Broad
Add,DST - Bulk/Party,egg,Broad
Add,DST - Bulk/Party,biryani chicken,Broad
Add,DST - Bulk/Party,chicken kabab,Broad
Add,DST - Bulk/Party,spicy chicken,Broad
Add,DST - Bulk/Party,chicken centre,Broad
Add,DST - Bulk/Party,chicken kebab,Broad
Add,DST - Bulk/Party,kabab,Broad
Add,DST - Bulk/Party,kebab,Broad
Add,DST - Bulk/Party,mutton biryani catering,Broad
Add,DST - Catering - Jan9,chicken,Broad
Add,DST - Catering - Jan9,chicken biryani,Broad
Add,DST - Catering - Jan9,mutton biryani,Broad
Add,DST - Catering - Jan9,mutton,Broad
Add,DST - Catering - Jan9,fish,Broad
Add,DST - Catering - Jan9,prawns,Broad
Add,DST - Catering - Jan9,beef,Broad
Add,DST - Catering - Jan9,chicken curry,Broad
Add,DST - Catering - Jan9,chicken 65,Broad
Add,DST - Catering - Jan9,butter chicken,Broad
Add,DST - Catering - Jan9,pepper chicken,Broad
Add,DST - Catering - Jan9,chicken dum biryani,Broad
Add,DST - Catering - Jan9,tandoori chicken,Broad
Add,DST - Catering - Jan9,chicken momos,Broad
Add,DST - Catering - Jan9,chicken roll,Broad
Add,DST - Catering - Jan9,chicken kabab,Broad
Add,DST - Catering - Jan9,chicken kebab,Broad
Add,DST - Catering - Jan9,chicken korma,Broad
Add,DST - Catering - Jan9,chicken lollipop,Broad
Add,DST - Catering - Jan9,chicken pakoda,Broad
Add,DST - Catering - Jan9,chicken pakodi,Broad
Add,DST - Catering - Jan9,chicken tikka,Broad
Add,DST - Catering - Jan9,chicken chops,Broad
Add,DST - Catering - Jan9,chilli chicken,Broad
Add,DST - Catering - Jan9,chicken shop,Broad
Add,DST - Catering - Jan9,chicken centre,Broad
Add,DST - Catering - Jan9,chicken dinner,Broad
Add,DST - Catering - Jan9,chicken rice,Broad
Add,DST - Catering - Jan9,chicken tandoori,Broad
Add,DST - Catering - Jan9,fried chicken,Broad
Add,DST - Catering - Jan9,shawarma,Broad
Add,DST - Catering - Jan9,chicken shawarma,Broad
Add,DST - Catering - Jan9,mutton curry,Broad
Add,DST - Catering - Jan9,mutton chukka,Broad
Add,DST - Catering - Jan9,mutton dum biryani,Broad
Add,DST - Catering - Jan9,beef biryani,Broad
Add,DST - Catering - Jan9,fish fry,Broad
Add,DST - Catering - Jan9,prawns fry,Broad
Add,DST - Catering - Jan9,non veg,Broad
Add,DST - Catering - Jan9,mutta kalaki,Broad
Add,DST - Catering - Jan9,egg,Broad
Add,DST - Catering - Jan9,kabab,Broad
Add,DST - Catering - Jan9,kebab,Broad
Add,DST - Catering - Jan9,wedding biryani catering,Broad
Add,DST - Leads - Subscription - Oct 10,chicken,Broad
Add,DST - Leads - Subscription - Oct 10,mutton,Broad
Add,DST - Leads - Subscription - Oct 10,fish,Broad
Add,DST - Leads - Subscription - Oct 10,beef,Broad
Add,DST - Leads - Subscription - Oct 10,non veg,Broad
Add,DST - Leads - Subscription - Oct 10,egg,Broad
Add,DST - Leads - Subscription - Oct 10,mutta kalaki,Broad
